Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
APOD,3589.520284,2.655584083,0.459450646,5.779911529,7.47E-09,4.40E-07
HMGA1,120.8328288,1.941055727,0.336591884,5.766793023,8.08E-09,4.73E-07
CYB5R2,125.5077939,-1.815820891,0.315100976,-5.762663491,8.28E-09,4.83E-07
ASPM,788.3830464,2.59752335,0.45076633,5.762460903,8.29E-09,4.83E-07
PCLAF,87.66963098,4.047122158,0.702654119,5.759764372,8.42E-09,4.90E-07
STEAP2,5611.429318,1.868745161,0.324668957,5.755847975,8.62E-09,5.00E-07
RPLP0,1333.567938,1.342516551,0.233527442,5.748859914,8.98E-09,5.20E-07
YBX1,2745.937879,1.113278114,0.193676612,5.748128828,9.02E-09,5.20E-07
SURF4,1067.859048,1.038936635,0.180746843,5.748020907,9.03E-09,5.20E-07
PPP1R17,43.9683248,-4.088364865,0.711313232,-5.747629431,9.05E-09,5.20E-07
FAM155A-IT1,19.45515319,-3.207433394,0.558174674,-5.746289721,9.12E-09,5.23E-07
ANKRD13D,191.2561408,1.766046394,0.30744329,5.744299693,9.23E-09,5.28E-07
PRRX1,4724.029756,1.767798261,0.307827902,5.742813592,9.31E-09,5.32E-07
TGFB2,1428.170143,-1.830577558,0.318817318,-5.741775793,9.37E-09,5.34E-07
TUB,288.6448756,-1.372319575,0.23905519,-5.740597291,9.43E-09,5.35E-07
ICA1L,464.3783756,-1.287246853,0.224372861,-5.737088017,9.63E-09,5.45E-07
PSRC1,39.18963729,-2.538091756,0.442539508,-5.735288514,9.73E-09,5.49E-07
WNT7A,29.1165236,-3.025359478,0.527664374,-5.733492026,9.84E-09,5.54E-07
CD163,5509.483797,2.241287617,0.391023309,5.731851703,9.93E-09,5.58E-07
H2AC11,106.7720388,2.406728651,0.420792849,5.71950939,1.07E-08,5.97E-07
PI3,204.9666176,7.001841331,1.225395855,5.7139424,1.10E-08,6.16E-07
RPS2P55,21.73258836,1.851320007,0.324300847,5.708649931,1.14E-08,6.34E-07
LINC01811,36.20547932,-4.367860293,0.765275854,-5.707563185,1.15E-08,6.35E-07
SLC16A1,471.9773507,2.13444447,0.373974957,5.707452942,1.15E-08,6.35E-07
SERPINF1,1358.433952,1.507313526,0.264265872,5.703776701,1.17E-08,6.47E-07
CRTAC1,102.8114426,-4.099837379,0.718956146,-5.70248603,1.18E-08,6.51E-07
RS1,17.96419572,-3.295115123,0.578082357,-5.700079034,1.20E-08,6.59E-07
CYP24A1,40.80536434,4.078675979,0.715791531,5.698133885,1.21E-08,6.65E-07
ITGA9-AS1,364.9444708,-1.682888856,0.295418546,-5.696625612,1.22E-08,6.69E-07
RPS15AP17,56.60511816,1.900406632,0.333695045,5.695040006,1.23E-08,6.74E-07
RNU6-955P,5.477657817,-5.584858175,0.981192122,-5.691910941,1.26E-08,6.83E-07
GUSBP9,37.64977021,-2.85674862,0.50227349,-5.687635677,1.29E-08,6.99E-07
SPOCK2,855.7666002,-1.75745654,0.309286547,-5.682292226,1.33E-08,7.19E-07
SLC4A7,2182.984901,1.206660168,0.212474638,5.6790786,1.35E-08,7.28E-07
AHNAK,41381.63133,-1.096913646,0.193543739,-5.667523287,1.45E-08,7.77E-07
CFD,368.6585243,-1.670382323,0.294960709,-5.663067223,1.49E-08,7.96E-07
