Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SERTM1,185.8448967,-3.269733093,0.702272299,-4.655933458,3.23E-06,7.08E-05
CLEC4F,13.36383001,-3.931713964,0.844630656,-4.654950582,3.24E-06,7.10E-05
TAF9,1142.185272,1.546442731,0.332366804,4.652819459,3.27E-06,7.16E-05
IQSEC3,28.8329167,-3.116902944,0.670019385,-4.651959356,3.29E-06,7.19E-05
KDELR3,517.9564788,2.005748597,0.431312164,4.650340904,3.31E-06,7.24E-05
ANKS1B,182.1992978,-1.7159975,0.36904691,-4.649808608,3.32E-06,7.25E-05
LIPT1P1,19.38010312,-2.799592012,0.602198356,-4.648953265,3.34E-06,7.26E-05
ILF2,687.8017308,1.120662458,0.241063451,4.648827737,3.34E-06,7.26E-05
HS3ST3A1,388.4202067,2.665987234,0.573481082,4.648779738,3.34E-06,7.26E-05
DCLK1,777.0026492,2.031711197,0.437082719,4.648344825,3.35E-06,7.27E-05
DNAJC27-AS1,13.21092967,-3.415897508,0.735291184,-4.645639147,3.39E-06,7.35E-05
ELN-AS1,42.30052449,-2.855626442,0.614756125,-4.645137032,3.40E-06,7.36E-05
SYN3,150.9653585,-2.384773102,0.513576512,-4.643462165,3.43E-06,7.40E-05
PVT1,790.1953676,1.553549169,0.334767724,4.640677878,3.47E-06,7.49E-05
HSPD1P16,11.36032885,-3.225611924,0.695079133,-4.640639848,3.47E-06,7.49E-05
CDK1,178.4811612,1.814516403,0.391035906,4.640280789,3.48E-06,7.50E-05
F11,82.75540627,-3.506474573,0.756466768,-4.635331945,3.56E-06,7.67E-05
SLC9B2,526.7248658,1.393183332,0.300562478,4.635253675,3.57E-06,7.67E-05
FUT2,26.85311981,1.845246909,0.398206208,4.633897899,3.59E-06,7.71E-05
RPS3AP47,68.57597181,1.410443289,0.304458912,4.632622776,3.61E-06,7.75E-05
TTK,75.66218122,2.539788552,0.548373558,4.631493466,3.63E-06,7.78E-05
LIFR,13177.08947,-1.299684614,0.28097782,-4.625577252,3.74E-06,8.00E-05
PCDHA10,234.5249835,-1.403219537,0.30346321,-4.624018636,3.76E-06,8.05E-05
ASB9P1,19.73407223,-2.950031232,0.638027589,-4.623673465,3.77E-06,8.06E-05
BANF1P1,66.99545152,-2.595960042,0.561472763,-4.623483476,3.77E-06,8.06E-05
KCNIP1,23.13754952,-2.337702079,0.505647586,-4.623184496,3.78E-06,8.07E-05
PPIAP11,21.29993638,-4.2537827,0.920494583,-4.621192538,3.82E-06,8.14E-05
H1-0,742.0175091,1.93514118,0.418932781,4.619216414,3.85E-06,8.21E-05
ADCY9,537.402232,-1.062525531,0.230167698,-4.616310376,3.91E-06,8.31E-05
CHEK1,171.7699247,1.525554208,0.330559028,4.615073496,3.93E-06,8.35E-05
ERICH5,15.99286422,-3.131393466,0.678527265,-4.614985469,3.93E-06,8.35E-05
OPRK1,6.324839474,-5.460579945,1.184136664,-4.611444024,4.00E-06,8.49E-05
LRMDA,376.1760429,-1.050301774,0.227780236,-4.611031187,4.01E-06,8.50E-05
CARMN,4102.534316,-1.26436302,0.274262054,-4.610054508,4.03E-06,8.53E-05
SLC39A6,1964.956193,1.041477658,0.225956657,4.609192182,4.04E-06,8.56E-05
DEFB125,6.358757689,-5.808147559,1.260685645,-4.607133891,4.08E-06,8.62E-05
LINC01006,191.7615724,-1.847076495,0.400976412,-4.606446768,4.10E-06,8.64E-05
PIP5K1B,547.7557597,-2.001508907,0.434806279,-4.60321988,4.16E-06,8.76E-05
GREM1,531.834417,2.821630162,0.612969161,4.603217163,4.16E-06,8.76E-05
PATZ1,123.5792478,-1.439085266,0.312663743,-4.602661164,4.17E-06,8.78E-05
VIPR1-AS1,782.9096494,-2.36840586,0.514613671,-4.602298763,4.18E-06,8.78E-05
C1QTNF1-AS1,4.92378516,-4.474937347,0.972706123,-4.600502907,4.21E-06,8.84E-05
LINC02018,142.3689111,-2.567312943,0.558103347,-4.600067272,4.22E-06,8.85E-05
PMM1,75.51451626,-1.909084563,0.415114543,-4.598934425,4.25E-06,8.89E-05
CDC7,340.4929604,1.643613517,0.357416575,4.598593445,4.25E-06,8.90E-05
MKI67,1246.074392,2.382067219,0.518068533,4.597977034,4.27E-06,8.92E-05
AK6,251.0893975,1.82118321,0.396173887,4.596928947,4.29E-06,8.95E-05
MTND5P32,2568.86785,2.189503326,0.476360632,4.596314594,4.30E-06,8.97E-05
CERS3-AS1,13.31690145,-3.694484397,0.804058756,-4.594794062,4.33E-06,9.03E-05
ELL2P1,12.71444351,2.303848503,0.501673278,4.592328522,4.38E-06,9.13E-05
MTND6P18,380.0890525,1.366252295,0.297528265,4.592008401,4.39E-06,9.14E-05
ST20,161.5849182,1.851163379,0.403216986,4.590985606,4.41E-06,9.17E-05
CNTFR,8.313371758,-4.51047478,0.982497091,-4.590827616,4.41E-06,9.17E-05
TRAJ17,6.148810998,-5.422367776,1.181162398,-4.590704705,4.42E-06,9.17E-05
SLC16A12-AS1,7.164323378,-4.003922715,0.873008083,-4.586352398,4.51E-06,9.35E-05
ADARB2,91.5691869,-2.189403886,0.477391108,-4.586184894,4.51E-06,9.35E-05
ZNF69,287.2439126,-1.841726499,0.401766827,-4.584068114,4.56E-06,9.44E-05
RNF128,403.9445755,-1.919338071,0.418737416,-4.583631646,4.57E-06,9.45E-05
C2CD4A,25.0208421,5.193822942,1.133253342,4.583108427,4.58E-06,9.46E-05
TPX2,169.4285597,2.630906414,0.57405837,4.582994605,4.58E-06,9.46E-05
RPL21P32,38.39093539,-2.381642122,0.519677822,-4.582920463,4.59E-06,9.46E-05
YPEL4,55.77923237,-2.512172737,0.54829285,-4.58180831,4.61E-06,9.49E-05
RMRP,12320.56529,1.24739676,0.272270228,4.581465882,4.62E-06,9.50E-05
EPHA1-AS1,40.09827336,-1.896910783,0.414055657,-4.581294209,4.62E-06,9.50E-05
COLEC10,185.1096707,-3.120604401,0.681447652,-4.579375087,4.66E-06,9.58E-05
PGAM1P9,5.215910542,-5.515983338,1.204833993,-4.578210252,4.69E-06,9.63E-05
RB1-DT,22.6520633,-3.362307352,0.734781562,-4.575927768,4.74E-06,9.71E-05
RPL10P18,6.616665241,-5.85764092,1.280380573,-4.574921741,4.76E-06,9.74E-05
NPIPB5,133.6980238,-1.80236709,0.394037195,-4.574103947,4.78E-06,9.77E-05
CCNB3,27.93944444,-3.120446056,0.682271504,-4.573613349,4.79E-06,9.78E-05
GK,1619.915294,1.561666187,0.341572011,4.571996937,4.83E-06,9.85E-05
RIPK4,11.07719542,-3.319253497,0.726055777,-4.571623288,4.84E-06,9.86E-05
SLC25A32,224.1111397,1.250817297,0.273846843,4.567579758,4.93E-06,0.00010014
GART,620.1137284,1.158541257,0.253649975,4.567480273,4.94E-06,0.00010014
IL31,13.18281908,-6.528225794,1.429929318,-4.565418521,4.98E-06,0.000101044
GABRE,1208.943912,-1.204158035,0.263862289,-4.563585187,5.03E-06,0.000101787
FAM184A,1226.26713,-1.876767645,0.411253481,-4.563530113,5.03E-06,0.000101787
HMGA2,192.27712,1.504355359,0.329676692,4.563123195,5.04E-06,0.000101845
TPCN1,507.530096,-1.511495956,0.331255229,-4.562934627,5.04E-06,0.000101845
FMO5,552.7885352,-1.829374326,0.40092499,-4.562884258,5.05E-06,0.000101845
WDR12,519.7688763,1.251679722,0.274378624,4.561870389,5.07E-06,0.000102253
MYH7B,28.73216444,-2.086149555,0.457446272,-4.560425302,5.11E-06,0.000102874
HDAC2-AS2,43.66267965,-2.310141962,0.506861267,-4.557740177,5.17E-06,0.000104111
ERVK13-1,2201.954375,-1.193742692,0.261928517,-4.557513277,5.18E-06,0.000104137
ZER1,175.9411648,-1.327801531,0.291459418,-4.555699527,5.22E-06,0.000104952
HELLS,549.7376378,1.397213906,0.306826437,4.55375984,5.27E-06,0.000105729
CASQ1,8.222601221,-4.408833257,0.968210318,-4.553590451,5.27E-06,0.000105729
PTPRQ,502.4745348,-2.314210455,0.508223793,-4.553526392,5.28E-06,0.000105729
STRAP,1189.877358,1.070551513,0.235107646,4.553452563,5.28E-06,0.000105729
TMEM256,65.54402089,2.759233686,0.606376738,4.550362032,5.36E-06,0.000107205
PGD,1006.227777,1.39605011,0.306865435,4.54938859,5.38E-06,0.000107613
LINC01370,7.697970046,-4.770343916,1.04875213,-4.548590444,5.40E-06,0.000107933
GLRX3,715.8367618,1.039858817,0.228626237,4.548291696,5.41E-06,0.000107997
KIAA0040,3202.334679,-1.136460192,0.249876206,-4.548092867,5.41E-06,0.00010801
GPD1,42.55960998,-3.795248787,0.834831621,-4.546124858,5.46E-06,0.000108845
ASPG,9.959556877,-4.48422685,0.986435356,-4.545890234,5.47E-06,0.000108876
PTCHD3P2,6.93801411,-4.114886994,0.90533896,-4.545134118,5.49E-06,0.000109178
TCN1,16.19901503,3.594386256,0.790918316,4.544573291,5.50E-06,0.00010929
KHDC1,28.69263371,-1.93159045,0.42505721,-4.544306984,5.51E-06,0.000109338
RN7SL715P,7.612256385,-5.411368463,1.190863299,-4.54407191,5.52E-06,0.00010937
MKS1,36.91077628,-1.963910177,0.432557681,-4.540227268,5.62E-06,0.000111111
RPL29,617.7278534,1.026238975,0.226109046,4.538690493,5.66E-06,0.000111832
P3H3,75.26149781,3.238319109,0.713850719,4.536409396,5.72E-06,0.00011268
LIPE,20.17744746,-2.177291058,0.480015892,-4.535872859,5.74E-06,0.000112875
RPS11P5,33.00510523,1.311387631,0.289130003,4.535633162,5.74E-06,0.000112912
CCDC87,6.167882672,-5.087848664,1.121861243,-4.53518534,5.76E-06,0.00011306
ZNF665,124.4442157,-1.743088382,0.384453289,-4.533940615,5.79E-06,0.000113636
CCL16,13.13588608,-2.144319832,0.472980429,-4.533633316,5.80E-06,0.000113639
VAMP2,618.7393988,-1.065180936,0.234952898,-4.533593523,5.80E-06,0.000113639
LINC02580,138.302551,-2.189177851,0.482934259,-4.533076315,5.81E-06,0.000113825
GALT,99.23845939,-1.474436636,0.325314363,-4.532344111,5.83E-06,0.000114126
NAPSB,12.73639214,-3.980116857,0.878190808,-4.532177768,5.84E-06,0.000114126
ABRACL,168.8818748,1.850977535,0.408630725,4.529707196,5.91E-06,0.000115282
MTRNR2L8,8305.124414,2.55707158,0.564587765,4.529094919,5.92E-06,0.000115524
TARS1,920.3200055,1.498934071,0.33121816,4.525518984,6.02E-06,0.000117306
ROBO2,1397.958377,-2.729709649,0.603755221,-4.521219121,6.15E-06,0.000119618
IBA57-DT,5.504738461,-4.565470533,1.011104372,-4.51533062,6.32E-06,0.000122892
LINC02016,52.46591673,-4.16181951,0.921850744,-4.514634867,6.34E-06,0.000123197
TENM1,574.9837289,-1.477473776,0.327277585,-4.514436192,6.35E-06,0.000123214
RHOG,476.6969415,1.124753389,0.249226236,4.512981478,6.39E-06,0.000123963
PLA2G4F,192.4767799,-3.167408123,0.702103641,-4.511311346,6.44E-06,0.000124843
CLEC5A,356.8538128,1.980466254,0.439327314,4.507951564,6.55E-06,0.000126734
VNN2,463.5252666,2.0613314,0.457344755,4.507171834,6.57E-06,0.000126998
SLC19A3,322.9302986,-1.300035437,0.288519235,-4.505888271,6.61E-06,0.000127666
CD1C,51.48891233,-3.611339944,0.801623455,-4.505032782,6.64E-06,0.000127977
XPO6,1650.618901,1.264143775,0.280670513,4.504013484,6.67E-06,0.000128388
ZNF250,266.1245217,-1.095953873,0.243344984,-4.503704392,6.68E-06,0.000128473
ERVE-1,12.16887756,-4.425185479,0.982641623,-4.50335644,6.69E-06,0.00012858
CLDN1,1949.009611,2.300402625,0.511026808,4.501530227,6.75E-06,0.000129485
MBIP,1587.259771,-1.071174767,0.237968817,-4.50132409,6.75E-06,0.000129508
NPM1P30,70.50222589,-1.833744967,0.407489708,-4.5001013,6.79E-06,0.000130153
RERG-IT1,15.6128348,-2.847427035,0.632815913,-4.499613513,6.81E-06,0.000130348
FAP,520.5504096,2.446175494,0.54382399,4.498101479,6.86E-06,0.000131175
SIGLEC10,149.2774376,2.227987583,0.4954779,4.496643706,6.90E-06,0.000131818
BTBD9-AS1,98.42624776,-1.440961131,0.320485719,-4.496178909,6.92E-06,0.000131949
C9orf106,27.13687655,-3.603160791,0.801806693,-4.493802338,7.00E-06,0.000133243
OR14L1P,8.575735268,-3.26383994,0.726303863,-4.493766464,7.00E-06,0.000133243
HNRNPA3P12,7.553166384,-5.029062026,1.119388989,-4.492684915,7.03E-06,0.000133711
MIR1245A,10.66393697,4.183346499,0.931237041,4.492246671,7.05E-06,0.000133882
DHRS12,80.90971974,-1.992769932,0.443796095,-4.490282708,7.11E-06,0.000134805
RRP9,31.82635782,2.093112015,0.466345665,4.488327381,7.18E-06,0.000135941
PXDNL,34.02866495,-2.774272617,0.618260059,-4.487226007,7.22E-06,0.000136539
CARMIL1,2189.820459,-1.057264912,0.235626364,-4.487039962,7.22E-06,0.000136551
ABCA2,122.5663125,-1.51133937,0.337015527,-4.484479943,7.31E-06,0.000138093
RNU6-379P,4.365054802,-3.957204303,0.882520267,-4.483981219,7.33E-06,0.000138201
FKBP14,948.6182558,1.235860232,0.275666017,4.483179482,7.35E-06,0.000138613
LINC01837,13.6677449,-3.909767189,0.872417433,-4.481532625,7.41E-06,0.000139578
AMELX,80.10592553,-1.660244673,0.370555366,-4.480422699,7.45E-06,0.000140197
GPR87,6.094420279,3.906286079,0.872207582,4.478619721,7.51E-06,0.000141277
ABCC11,13.28979417,-2.086747687,0.466063879,-4.477385576,7.56E-06,0.000141893
TRIM17,92.49624859,-2.173843122,0.485597209,-4.476638424,7.58E-06,0.000142262
RN7SL754P,5.15060177,-3.661579332,0.818120759,-4.475597635,7.62E-06,0.000142735
LOX,6148.8299,1.470656454,0.328648163,4.474865894,7.65E-06,0.000143057
HSD17B6,226.3032912,-2.768976341,0.618795258,-4.474785972,7.65E-06,0.000143057
KIFC1,10.5681385,3.502082296,0.783386737,4.470438587,7.81E-06,0.000145884
LTF,218.8743152,3.522613052,0.788027229,4.470166667,7.82E-06,0.000145956
HDAC4,345.9065969,-1.256168485,0.281067923,-4.469270177,7.85E-06,0.000146457
CRB1,22.41043832,-3.051385345,0.682779397,-4.469064766,7.86E-06,0.000146484
OR2A7,42.38481915,-1.89040804,0.423433967,-4.464469523,8.03E-06,0.000149308
FDPS,181.2513595,-1.140539028,0.255492386,-4.464082253,8.04E-06,0.000149308
CACYBPP3,8.983989178,-5.639021423,1.263217,-4.464016416,8.04E-06,0.000149308
PFKFB1,7.808577348,-4.006175815,0.897552009,-4.463446994,8.07E-06,0.000149573
RNU1-11P,22.04284973,3.096331441,0.693866961,4.462428122,8.10E-06,0.000150171
KRT18P63,14.64035887,-2.437636701,0.546546135,-4.460074904,8.19E-06,0.000151482
LINC01394,9.872151997,-3.26082834,0.731182187,-4.459666002,8.21E-06,0.000151571
ABCA12,64.40421125,2.443839404,0.547992611,4.459621092,8.21E-06,0.000151571
ARL4AP1,63.55023577,-2.923673373,0.656254544,-4.455090482,8.39E-06,0.000154454
CDKN2D,86.99476375,2.544278572,0.571154468,4.454624301,8.40E-06,0.000154672
MYCBPAP,46.80762746,-2.650328925,0.595041369,-4.454024649,8.43E-06,0.000154947
EGR2,423.140995,-2.411523215,0.541529037,-4.453174344,8.46E-06,0.000155367
HMGB1P39,18.53317493,-4.0982383,0.921113134,-4.449223607,8.62E-06,0.000157931
AGBL1-AS1,21.14567004,-4.642787918,1.043851426,-4.447747835,8.68E-06,0.000158849
TMEM51-AS1,42.42822883,-2.921019298,0.656762902,-4.447600934,8.68E-06,0.000158849
MIR4446,17.73436138,-3.884634649,0.873597941,-4.446707653,8.72E-06,0.00015939
NYAP2,32.83567945,-2.899929856,0.652185619,-4.446479304,8.73E-06,0.000159439
CAVIN2,7596.346372,-1.67022269,0.375805551,-4.444380039,8.81E-06,0.000160761
UNC13B,1704.400142,-1.396706662,0.314294587,-4.443941198,8.83E-06,0.000160881
CHN2-AS1,72.80627403,-2.769814271,0.623285105,-4.443896136,8.83E-06,0.000160881
COL11A1,247.8521235,3.371195738,0.758656542,4.443638923,8.84E-06,0.000160918
RN7SKP266,5.665227476,-5.301945107,1.193214514,-4.443413186,8.85E-06,0.000160918
MMP8,191.2194792,6.499136554,1.462661856,4.443362304,8.86E-06,0.000160918
RSPO1,341.3781276,-2.834357387,0.637914163,-4.443164228,8.86E-06,0.000160945
ERBB3,497.1464276,-1.325003148,0.29839322,-4.440459973,8.98E-06,0.000162859
GAS5,2696.185089,1.137132458,0.256191855,4.438597224,9.05E-06,0.000164052
MEG8,759.8741966,1.336297153,0.30106507,4.4385659,9.06E-06,0.000164052
LRRFIP1P1,57.44277696,-1.535209384,0.345936379,-4.437837349,9.09E-06,0.000164485
FRY-AS1,16.33845278,-3.209967503,0.7233847,-4.437427971,9.10E-06,0.000164675
ZNF784,16.93333419,-2.605723664,0.587406837,-4.43597776,9.17E-06,0.000165664
H2BC18,91.045372,2.856823419,0.644120029,4.435234569,9.20E-06,0.000166113
MXD1,3323.409185,1.469919501,0.331579387,4.433084678,9.29E-06,0.000167528
ENOX1-AS1,46.65717079,-2.55251328,0.575877542,-4.432388998,9.32E-06,0.000167831
GINS4,33.24557155,2.472500421,0.557906095,4.431750151,9.35E-06,0.000168193
LTV1P1,41.92927919,-3.006799641,0.678790491,-4.429643141,9.44E-06,0.000169664
TRIM46,20.99510161,-2.169966212,0.489883958,-4.429551482,9.44E-06,0.000169664
TMED7,5026.26452,1.188362324,0.268339799,4.428572766,9.49E-06,0.000170183
KIAA1614,84.84084312,-2.066865333,0.466916462,-4.426627679,9.57E-06,0.000171597
PDLIM3,8551.820114,-1.169296694,0.264193695,-4.425906886,9.60E-06,0.000172029
RPS20P2,25.0707762,1.407475539,0.31801858,4.425765114,9.61E-06,0.000172029
LZTS3,78.05014927,-1.324909542,0.299476373,-4.424087041,9.69E-06,0.000173116
LRP2BP,1639.374526,-1.52474545,0.344705166,-4.423332177,9.72E-06,0.000173466
ALPK3,210.3963902,-1.821276801,0.412152387,-4.418940324,9.92E-06,0.000176767
OR9A4,4.010852601,-4.79784073,1.086115553,-4.4174312,9.99E-06,0.000177613
ADGRE2,464.8263041,1.302363812,0.294863299,4.416839311,1.00E-05,0.000177839
PTMAP5,79.71615026,1.433879846,0.324840141,4.414109168,1.01E-05,0.000179966
LINC01820,6.691501025,-4.824210196,1.093304708,-4.412502903,1.02E-05,0.000180972
MRPL36,130.1830742,1.086693116,0.246288945,4.412269166,1.02E-05,0.000180972
ETV5-AS1,96.42196438,-2.920471789,0.662259852,-4.409857822,1.03E-05,0.000182828
KIF14,124.1875318,2.570023171,0.58280558,4.409743592,1.03E-05,0.000182828
TCF21,1000.813496,-2.066932373,0.468820229,-4.408795198,1.04E-05,0.000183362
SRGN,7097.73792,1.412209856,0.320456562,4.406868269,1.05E-05,0.000184731
TPPP,455.9207017,-1.946427037,0.441923365,-4.404444731,1.06E-05,0.000186673
VMAC,69.07890483,-1.284254734,0.291603168,-4.404117908,1.06E-05,0.000186818
HS3ST3B1,246.8307057,1.443620993,0.327806275,4.403884564,1.06E-05,0.000186823
C16orf89,66.12132603,-2.220626261,0.504252617,-4.403797195,1.06E-05,0.000186823
MTCYBP31,6.326068253,-4.429211627,1.005861252,-4.403402177,1.07E-05,0.00018688
TMA7,512.4018705,1.221319991,0.277367264,4.403259322,1.07E-05,0.00018688
CA4,115.3635925,-2.600473142,0.590944987,-4.400533379,1.08E-05,0.00018897
ATP6V0E2-AS1,8.37643141,-3.615377344,0.821619647,-4.400305366,1.08E-05,0.000189032
CILP2,8.854269988,5.488422644,1.247519242,4.399469331,1.09E-05,0.000189625
CLMP,1850.522859,1.085636864,0.246808478,4.398701667,1.09E-05,0.000190159
SHOX2,58.37038049,3.410983597,0.776373104,4.393485013,1.12E-05,0.000194502
SHROOM3,1073.567755,-1.407669832,0.320466896,-4.392559257,1.12E-05,0.000195191
SCN11A,33.61744446,-2.664229102,0.607161147,-4.388009861,1.14E-05,0.000199175
TNN,5.581701476,-3.881688405,0.885280988,-4.384696452,1.16E-05,0.000201795
PMCHL2,52.08995209,-3.248515146,0.741122142,-4.383238553,1.17E-05,0.000202921
SMPD3,29.05906659,-1.858949213,0.424208797,-4.382156209,1.18E-05,0.000203433
SLC16A7,4214.773477,1.095804555,0.25033808,4.377298717,1.20E-05,0.000207573
ADGRA2,163.8469022,-1.279168199,0.292327078,-4.375811537,1.21E-05,0.000208695
CISD1,483.4072642,1.164276601,0.266128642,4.374863954,1.22E-05,0.000209455
RNF122,152.7675217,-1.971598708,0.450712058,-4.37440861,1.22E-05,0.000209743
KCNA4,47.8562474,-2.706475666,0.618730055,-4.374243089,1.22E-05,0.000209753
MIRLET7A1HG,455.8379196,-1.623771116,0.371259949,-4.373677042,1.22E-05,0.000210148
SLC4A1AP,505.5748681,1.282790309,0.293404007,4.372095399,1.23E-05,0.000211265
KCNB1,182.1910046,-2.296988731,0.52537955,-4.372055841,1.23E-05,0.000211265
FAM171B,1212.314707,1.946699076,0.445333936,4.371324345,1.23E-05,0.000211824
RNU7-195P,7.390103741,-2.604924638,0.595998028,-4.370693382,1.24E-05,0.000212286
MORF4L1P5,30.90116901,-3.726338919,0.853035417,-4.368328493,1.25E-05,0.000214294
SCGB2B2,148.3625835,-2.0560248,0.47069195,-4.368090001,1.25E-05,0.000214376
MRPS16,349.8140071,1.053242332,0.241224183,4.366238576,1.26E-05,0.000215743
KRT87P,16.20942404,-4.096282238,0.938891813,-4.362890573,1.28E-05,0.000218918
LINC01537,69.14542514,-2.403034958,0.551080538,-4.360587596,1.30E-05,0.00022095
HSD17B10,140.6199985,1.35934714,0.311799467,4.359683978,1.30E-05,0.000221682
CTC1,307.9303311,-1.114145764,0.255633538,-4.35837087,1.31E-05,0.000222859
IFITM3,4428.772691,1.248887646,0.286606944,4.357492629,1.32E-05,0.000223441
AMPH,163.0105326,2.269834999,0.521046679,4.356298757,1.32E-05,0.000224505
EAF2,218.3093922,2.231229772,0.51222395,4.355965343,1.32E-05,0.000224642
SHANK2-AS2,7.943282095,-3.22702496,0.740847021,-4.355858722,1.33E-05,0.000224642
FZD8,92.89522895,-1.728442895,0.397039217,-4.353330408,1.34E-05,0.000226932
CCR1,669.6893519,1.349783997,0.310086345,4.352929496,1.34E-05,0.000227188
RPL3P6,96.03851928,-1.651295974,0.379448475,-4.351831892,1.35E-05,0.000228076
FAM78B-AS1,7.668593966,-4.297597799,0.987552108,-4.351768139,1.35E-05,0.000228076
ROBO4,554.2344246,-1.713876881,0.393861574,-4.351470144,1.35E-05,0.000228227
TMEM87B,1614.999305,1.231448,0.283014595,4.351181952,1.35E-05,0.000228368
RN7SL351P,8.476287497,-3.172374049,0.72954122,-4.348450729,1.37E-05,0.000230748
CYTIP,1332.386925,1.207260501,0.277643487,4.348239945,1.37E-05,0.000230809
ADGRL4,4012.506675,1.146854446,0.263768521,4.347957975,1.37E-05,0.000230946
NLN,559.4569506,1.245543578,0.286520626,4.347134074,1.38E-05,0.000231654
FBXW12,7.692512388,-3.02593678,0.696689613,-4.343306867,1.40E-05,0.000235402
PNMT,13.51442045,-3.749208752,0.863392543,-4.342415026,1.41E-05,0.000236196
ADM,298.4828497,2.147374067,0.494550776,4.342069962,1.41E-05,0.00023624
VPS13B-DT,56.61473879,-2.0954624,0.48270104,-4.341118466,1.42E-05,0.000237101
PPP1R12A-AS1,51.96433122,-2.068458403,0.476569263,-4.340310136,1.42E-05,0.000237811
OR51M1,24.74813701,-2.257350074,0.520181087,-4.339546613,1.43E-05,0.000238474
MIR4463,3.133291018,-4.439722423,1.023388718,-4.338256171,1.44E-05,0.000239713
CLYBL,144.0097945,-1.880345515,0.433497638,-4.337614206,1.44E-05,0.000240248
ZNF662,385.10769,-1.293848422,0.298374198,-4.336328109,1.45E-05,0.000241348
MIR4257,13.01301221,-2.368473993,0.54620692,-4.336221142,1.45E-05,0.000241348
RPL12P29,5.902168673,-3.807161158,0.878062009,-4.335868219,1.45E-05,0.000241498
DAB2IP,293.3123729,-1.941407371,0.447913992,-4.334330712,1.46E-05,0.000243024
RN7SL443P,4.712103558,-4.698788486,1.084146579,-4.334089667,1.46E-05,0.000243124
TMEM178A,83.63388141,-2.945976533,0.679901987,-4.332942966,1.47E-05,0.000244059
BFSP1,26.60057649,-2.437151574,0.562579906,-4.332098513,1.48E-05,0.00024476
PWWP3B,15.79598143,-2.720695041,0.628060644,-4.331898628,1.48E-05,0.00024476
CARNS1,38.67133769,-2.391396633,0.552053374,-4.331821423,1.48E-05,0.00024476
CCN2,6723.443732,-1.345396438,0.310767037,-4.329276531,1.50E-05,0.00024731
DRAP1,87.9132695,1.401212726,0.324109463,4.323270026,1.54E-05,0.000253451
RPS2P5,20.5176229,2.01389854,0.465884815,4.32273917,1.54E-05,0.000253716
LINC01847,29.11417372,-3.165155326,0.732275562,-4.322355534,1.54E-05,0.000253985
HIGD1A,1553.847183,1.22785266,0.284093646,4.321999718,1.55E-05,0.000254222
ANPEP,567.8467362,1.783201791,0.412800628,4.319765207,1.56E-05,0.000256287
RPL26P37,6.110295785,3.088144805,0.715133391,4.318278024,1.57E-05,0.0002577
KLK11,98.61323073,-1.738853601,0.402716051,-4.317815488,1.58E-05,0.000257918
PRR16,368.5390374,1.252015838,0.289970447,4.317736005,1.58E-05,0.000257918
RPL7P17,15.04175212,-4.094085449,0.948631379,-4.315781177,1.59E-05,0.000259758
CYP2B7P,3531.805227,-2.288687603,0.530310538,-4.31574981,1.59E-05,0.000259758
LINC02604,150.718355,-1.64101538,0.380428428,-4.313598193,1.61E-05,0.000262124
S100A11,8062.570078,1.393321935,0.323057949,4.312916425,1.61E-05,0.000262756
TMIE,9.144756929,-4.893728131,1.135268724,-4.31063415,1.63E-05,0.000265305
CYP51A1P3,91.46517732,-2.193077047,0.508787055,-4.310402606,1.63E-05,0.000265404
FAM83A,8.427682196,3.950854255,0.916746636,4.309646852,1.64E-05,0.000266133
TCF23,18.04426293,4.97334472,1.154173756,4.309008668,1.64E-05,0.000266723
MAP1LC3B2,15.23398917,1.967858625,0.456959302,4.306419883,1.66E-05,0.000269681
PLCL1,478.5325649,-1.57466596,0.365670224,-4.306246051,1.66E-05,0.000269712
ROPN1B,13.78918409,-3.219611538,0.747868121,-4.305052517,1.67E-05,0.000270806
CEBPB,1894.135261,1.28293301,0.298165638,4.302752717,1.69E-05,0.000273162
MTATP8P1,61.08304122,2.281572378,0.530266494,4.302690066,1.69E-05,0.000273162
EPS8,3188.853621,1.041884121,0.242293668,4.300088113,1.71E-05,0.00027602
ZMPSTE24,1059.114987,1.143815753,0.2660203,4.299731079,1.71E-05,0.00027628
NTN4,2543.153995,-1.188723472,0.276479485,-4.299499731,1.71E-05,0.000276384
NPAS2,560.3349324,1.677340842,0.390256868,4.298043107,1.72E-05,0.000278021
LINC01772,263.0161083,-1.654237319,0.38492261,-4.29758418,1.73E-05,0.000278226
MND1,30.79056891,3.187101684,0.742032391,4.295097794,1.75E-05,0.000280802
ARHGEF6,2261.967612,-1.004865387,0.234179616,-4.291002802,1.78E-05,0.000285651
ALK,74.16574758,-2.69400173,0.627923147,-4.290336712,1.78E-05,0.000286319
PAPOLA,9088.761752,1.081536037,0.252106427,4.289997883,1.79E-05,0.000286566
MAP4K2,166.9360209,-1.852646856,0.431908914,-4.2894388,1.79E-05,0.000287098
RFX2,436.1184358,-1.95888909,0.456892147,-4.287421227,1.81E-05,0.000289526
RPL21P44,33.79492212,-2.640573943,0.615964377,-4.286893921,1.81E-05,0.000290022
ICAM5,11.27966655,-3.070178025,0.716204726,-4.286732427,1.81E-05,0.000290022
ACTG1P14,10.85323225,-2.418513739,0.564266651,-4.286118517,1.82E-05,0.000290459
KIF23,235.2865498,1.889884307,0.441181766,4.283686344,1.84E-05,0.000293267
