Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OR52N4,3.692402382,-5.027905484,0.950961899,-5.287178687,1.24E-07,6.80E-06
TMEM123,9069.364472,1.114648012,0.210886788,5.285527961,1.25E-07,6.83E-06
ASB13,107.4965848,-2.206821403,0.417530146,-5.285418122,1.25E-07,6.83E-06
PPIAP40,5.645137669,-4.629316776,0.8768721,-5.279352347,1.30E-07,6.99E-06
S100A9,292.4923898,2.595728257,0.491685981,5.279239916,1.30E-07,6.99E-06
HNRNPH2,905.7873445,1.231831251,0.233338639,5.279156754,1.30E-07,6.99E-06
SULT1A2,25.50139842,-4.691649274,0.888850657,-5.278332457,1.30E-07,7.00E-06
RMDN2-AS1,42.13342949,-3.669067087,0.695152869,-5.278072278,1.31E-07,7.00E-06
ST6GALNAC4P1,3.303579543,-4.865705568,0.921929492,-5.27774153,1.31E-07,7.00E-06
WWTR1,7464.082365,1.811564662,0.343390809,5.275518777,1.32E-07,7.06E-06
EXOC5,2624.61604,1.186776233,0.224960236,5.275493357,1.32E-07,7.06E-06
ABCC4,856.7186835,1.197244534,0.227017799,5.273791491,1.34E-07,7.11E-06
B4GALT1-AS1,19.22780817,-2.589760952,0.491256263,-5.271710811,1.35E-07,7.17E-06
TMEM74B,20.78363338,-4.093845723,0.776589202,-5.271571781,1.35E-07,7.17E-06
SAV1,1214.804552,1.378408344,0.261528647,5.270582622,1.36E-07,7.18E-06
RAB21,3385.942859,1.072037872,0.203405771,5.270439812,1.36E-07,7.18E-06
TMEM86B,7.533957556,-4.122615736,0.782796567,-5.266522504,1.39E-07,7.31E-06
CD27,27.24931933,-2.984725418,0.56675635,-5.266329028,1.39E-07,7.31E-06
LINC01719,17.06623096,-2.731138713,0.51907303,-5.26156929,1.43E-07,7.48E-06
SYNE4,32.55374896,-2.548861587,0.484462201,-5.261218693,1.43E-07,7.48E-06
MLPH,270.7791414,-2.98269311,0.566948809,-5.260956655,1.43E-07,7.48E-06
LMOD2,5.915447693,-4.057213627,0.771611511,-5.258104073,1.46E-07,7.58E-06
RAB1AP1,39.53096359,-2.408174253,0.458019848,-5.257794529,1.46E-07,7.58E-06
SNORA53,194.6416521,2.678831526,0.509641623,5.256304445,1.47E-07,7.63E-06
UCA1,33.17020702,-4.894562138,0.931500921,-5.254489852,1.48E-07,7.67E-06
RHEB,908.3004753,1.334315802,0.253939906,5.254454975,1.48E-07,7.67E-06
CAMLG,558.5752078,1.507875777,0.287023461,5.253493116,1.49E-07,7.70E-06
AKT3,3307.108177,1.37150691,0.261491584,5.244937092,1.56E-07,8.05E-06
PM20D2,1965.000743,1.753415359,0.334428073,5.243026821,1.58E-07,8.10E-06
C2orf72,116.2990409,-2.896747936,0.552523855,-5.242756329,1.58E-07,8.10E-06
ARHGEF34P,19.57737017,-3.014615195,0.575026654,-5.24256602,1.58E-07,8.10E-06
PTCHD3P2,6.358723879,-4.796600617,0.916031983,-5.236280725,1.64E-07,8.36E-06
CLDND1,1938.448814,1.349009991,0.257652562,5.235771686,1.64E-07,8.37E-06
TMEM234,50.35091891,-2.428828081,0.463946909,-5.235142286,1.65E-07,8.38E-06
LINC00942,7.895633431,-2.559832283,0.489046768,-5.234330232,1.66E-07,8.40E-06
RPL12P15,8.271598352,-2.945391611,0.562765211,-5.233784096,1.66E-07,8.41E-06
RN7SL706P,15.10011085,-4.173462058,0.797486659,-5.233268806,1.67E-07,8.42E-06
CCDC13,5.949140029,-5.00004537,0.956401996,-5.227974629,1.71E-07,8.64E-06
TXNRD1,1657.821046,1.869724756,0.357768106,5.226080027,1.73E-07,8.71E-06
RNF217,3197.703338,1.310994472,0.250941487,5.224303425,1.75E-07,8.78E-06
WDR24,11.4786314,-3.366399331,0.644742465,-5.221308526,1.78E-07,8.91E-06
RAD17P1,67.6651044,-3.694925275,0.708110199,-5.218008835,1.81E-07,9.02E-06
RN7SKP125,15.70488922,3.424034756,0.656215949,5.217847512,1.81E-07,9.02E-06
ENTPD2,14.18743395,-2.52903112,0.48478341,-5.216826875,1.82E-07,9.05E-06
CD177,582.1534615,-4.9115719,0.942217886,-5.212777184,1.86E-07,9.23E-06
PHOSPHO1,5.184472754,-4.224451657,0.810642701,-5.211237517,1.88E-07,9.29E-06
FLT1,1406.046812,1.725202681,0.331135421,5.209961156,1.89E-07,9.34E-06
SHROOM1,67.05159557,-2.31411513,0.444830512,-5.202240102,1.97E-07,9.70E-06
TAF6L,13.99975682,-2.596329956,0.499200509,-5.200976174,1.98E-07,9.74E-06
CTSL,901.6670331,1.377422711,0.264986636,5.198083685,2.01E-07,9.88E-06
DRAM1,502.9008258,1.637676563,0.31520622,5.195571845,2.04E-07,9.99E-06
B3GNT7,535.6727682,-4.054048092,0.780590499,-5.193565764,2.06E-07,1.01E-05
METTL21C,5.391060737,-4.54490062,0.875121042,-5.193453705,2.06E-07,1.01E-05
PANK2-AS1,4.240697613,-4.880618145,0.939854387,-5.192951389,2.07E-07,1.01E-05
SNX18,1189.039692,1.201179327,0.231542029,5.18773777,2.13E-07,1.03E-05
VPS37A,1584.160262,1.104683354,0.212941431,5.18773331,2.13E-07,1.03E-05
C3orf67-AS1,10.59273829,-3.961702434,0.765409669,-5.175924209,2.27E-07,1.10E-05
MT-TR,129.0627362,2.130036883,0.411666316,5.174183075,2.29E-07,1.11E-05
TTLL10,4.432500303,-5.284403019,1.022272937,-5.169268233,2.35E-07,1.13E-05
ERBB2,442.4893759,-1.699699535,0.328903276,-5.16777928,2.37E-07,1.14E-05
MAP3K20,11707.00141,1.708661156,0.330700023,5.166800829,2.38E-07,1.14E-05
GJA1P1,11.71755852,-3.754138683,0.726709729,-5.165939761,2.39E-07,1.15E-05
SHOC1,988.1431491,1.479323737,0.286417338,5.164923848,2.41E-07,1.15E-05
LINC01147,3.595628575,-4.641248056,0.89888959,-5.163312722,2.43E-07,1.16E-05
LINC01229,28.93274673,-2.613567425,0.506360982,-5.161470806,2.45E-07,1.17E-05
SCN4A,6.032419101,-4.469058368,0.866298938,-5.158794697,2.49E-07,1.18E-05
